iter	Passed	Remaining
1146	15860	4881
1147	15872	4866
1148	15886	4853
1149	15901	4839
1150	15915	4825
1151	15929	4812
1152	15945	4798
1153	15961	4785
1154	15975	4771
1155	15990	4758
1156	16005	4745
1157	16017	4730
1158	16032	4716
1159	16046	4703
1160	16059	4689
1161	16072	4675
1162	16084	4660
1163	16098	4646
1164	16112	4633
1165	16126	4619
1166	16140	4605
1167	16155	4592
1168	16170	4578
1169	16185	4565
1170	16198	4550
1171	16211	4537
1172	16226	4523
1173	16238	4509
1174	16250	4494
1175	16263	4480
1176	16276	4466
1177	16289	4452
1178	16303	4438
1179	16317	4425
1180	16330	4410
1181	16342	4396
1182	16355	4382
1183	16368	4368
1184	16381	4354
1185	16393	4340
1186	16406	4326
1187	16421	4312
1188	16434	4298
1189	16448	4284
1190	16462	4271
1191	16475	4256
1192	16489	4243
1193	16502	4229
1194	16516	4215
1195	16532	4202
1196	16545	4188
1197	16558	4174
1198	16571	4160
1199	16587	4146
1200	16599	4132
1201	16612	4118
1202	16625	4104
1203	16639	4090
1204	16654	4077
1205	16667	4063
1206	16681	4049
1207	16694	4035
1208	16707	4021
1209	16718	4006
1210	16730	3992
1211	16744	3978
1212	16757	3964
1213	16768	3950
1214	16780	3936
1215	16794	3922
1216	16809	3908
1217	16822	3894
1218	16836	3881
1219	16849	3867
1220	16861	3852
1221	16874	3838
1222	16887	3824
1223	16901	3811
1224	16914	3797
1225	16928	3783
1226	16941	3769
1227	16955	3755
1228	16967	3741
1229	16979	3727
1230	16993	3713
1231	17007	3699
1232	17021	3685
1233	17035	3672
1234	17047	3657
1235	17064	3644
1236	17080	3631
1237	17094	3617
1238	17109	3604
1239	17123	3590
1240	17139	3576
1241	17154	3563
1242	17168	3549
1243	17181	3535
1244	17195	3521
1245	17210	3508
1246	17224	3494
1247	17239	3481
1248	17251	3466
1249	17266	3453
1250	17278	3439
1251	17293	3425
1252	17306	3411
1253	17326	3399
1254	17340	3385
1255	17352	3371
1256	17365	3357
1257	17378	3342
1258	17390	3328
1259	17402	3314
1260	17415	3300
1261	17428	3286
1262	17441	3272
1263	17454	3258
1264	17469	3245
1265	17482	3231
1266	17496	3217
1267	17509	3203
1268	17522	3189
1269	17534	3175
1270	17549	3161
1271	17563	3148
1272	17576	3134
1273	17587	3119
1274	17601	3106
1275	17615	3092
1276	17628	3078
1277	17640	3064
1278	17652	3050
1279	17665	3036
1280	17677	3022
1281	17689	3008
1282	17703	2994
1283	17715	2980
1284	17728	2966
1285	17740	2952
1286	17753	2938
1287	17766	2924
1288	17780	2910
1289	17794	2896
1290	17807	2882
1291	17820	2868
1292	17833	2855
1293	17845	2840
1294	17858	2827
1295	17872	2813
1296	17885	2799
1297	17899	2785
1298	17912	2771
1299	17927	2758
1300	17941	2744
1301	17954	2730
1302	17966	2716
1303	17979	2702
1304	17991	2688
